Ciudad,Estado_Geo,Anio,Mes,Lat,Lon
Reynosa,Tamaulipas,2025,11,23.327935162541944,-102.33135678007557
Otzolotepec,México,2025,9,19.282407788626255,-99.2263240108724
Tampico,Tamaulipas,2025,12,23.918014765922493,-102.44323710698607
Cuajimalpa De Morelos,Ciudad de México,2025,11,19.793330583256346,-99.0615873105301
Tulum,Quintana Roo,2025,8,23.10695213053119,-102.72002090633971
Irapuato,Guanajuato,2025,10,21.029747302577565,-100.98790706680806
El Limón,Jalisco,2025,12,20.57691100314878,-103.66235625144247
Zapopan,Jalisco,2025,12,20.381607810470733,-103.52572076359576
Álvaro Obregón,Ciudad de México,2025,12,19.052465367333685,-99.20776356138359
Morelia,Michoacán,2025,9,19.404115171403628,-101.69918962131554
San Pedro Tlaquepaque,Jalisco,2025,12,21.10240970391252,-103.60699026758492
La Magdalena Contreras,Ciudad de México,2026,2,19.255802932020757,-99.5183631752608
Tonalá,Jalisco,2025,10,20.67829062174337,-103.23877995755836
Aguascalientes,Aguascalientes,2025,12,23.80301895889518,-102.71136944675975
Gómez Palacio,Durango,2025,12,23.463629602379296,-102.41876177857739
Zacatlán,Puebla,2025,8,24.07178208272096,-102.8456372847258
Acapulco De Juárez,Guerrero,2025,10,24.062447294942114,-102.51885989814518
Xochimilco,Ciudad de México,2025,10,19.184382295825365,-99.10061056744841
Tijuana,Baja California,2025,11,30.837848505892385,-115.73197646317757
Papalotla De Xicohténcatl,Tlaxcala,2025,11,23.400878309816772,-102.66339572180608
Tláhuac,Ciudad de México,2025,12,19.217440494377467,-99.49878532306103
Querétaro,Querétaro,2025,11,23.136886947354533,-102.93662502952724
General Enrique Estrada,Zacatecas,2025,9,23.7095643339799,-102.01003976761005
Ojinaga,Chihuahua,2025,10,23.602679023228863,-102.67764615502527
Tula De Allende,Hidalgo,2025,10,23.15147875124999,-102.19012555414537
Guachinango,Jalisco,2025,8,20.438146464236613,-103.59475934523624
Tepic,Nayarit,2025,10,24.008265885966654,-102.31849727777607
Gustavo A. Madero,Ciudad de México,2025,9,19.172161890666974,-98.87297214011032
Tlajomulco De Zúñiga,Jalisco,2025,10,20.304394872091223,-103.25376125939216
Xalapa,Veracruz,2026,1,23.589452760277563,-102.52842381144984
Nezahualcóyotl,México,2025,9,19.8409504541106,-99.74385908585273
Moroleón,Guanajuato,2025,11,20.7610552715115,-101.40853173345701
Ahome,Sinaloa,2025,11,23.77213554740588,-102.07047085575218
Tala,Jalisco,2025,12,20.92111961532872,-103.01878059221228
Morelia,Michoacán,2025,9,19.3041375439924,-101.24177308933349
Tlalnepantla De Baz,México,2025,8,19.58351634861186,-100.03140277651445
Chignahuapan,Puebla,2025,10,23.467783132719255,-102.26913252479636
El Marqués,Querétaro,2025,10,23.73230583059358,-102.06165954317896
Tijuana,Baja California,2026,1,30.97412971076089,-115.60256693383434
Morelia,Michoacán,2025,11,19.60227468407476,-102.14030373263323
Aculco,México,2025,8,18.945589770054408,-99.41457935070994
Cuauhtémoc,Ciudad de México,2025,11,19.76790249558924,-99.0587268868201
León De Los Aldama,Guanajuato,2025,12,20.839780064971734,-100.91557122324173
Uruapan,Michoacán,2025,8,19.253018510399855,-102.06702762337372
Playas De Rosarito,Baja California,2025,12,30.381375141554763,-114.98853268814011
Tepic,Nayarit,2025,9,23.690892943188242,-102.79837267995225
Tuxtla Gutiérrez,Chiapas,2025,12,23.777564361842284,-102.8363440571343
Cadereyta Jiménez,Nuevo León,2026,1,25.108787828927856,-100.33193420206901
La Paz,México,2025,10,19.36739305829928,-99.34112527976862
Cuautitlán Izcalli,México,2025,8,19.08179577519794,-99.4905027793038
Chicoloapan,México,2025,11,19.50047279040945,-99.63263457523088
León De Los Aldama,Guanajuato,2025,10,20.69336642900499,-101.3985695158765
Victoria,Tamaulipas,2025,12,23.790937738102468,-102.1227994591869
Pichucalco,Chiapas,2025,11,23.486735346300538,-102.60755489257737
Matamoros,Tamaulipas,2025,9,24.036729988736734,-102.18340056052843
Nogales,Sonora,2025,11,23.237520944145995,-102.56086509142978
Juárez,Chihuahua,2025,11,23.44106635105026,-102.62305557057509
Tlalpan,Ciudad de México,2025,11,19.04607352124059,-99.1705202143304
Miguel Hidalgo,Ciudad de México,2025,12,19.857293618278565,-99.33182212583586
Nuevo Laredo,Tamaulipas,2025,12,23.977339353380984,-102.25239061982374
Río Blanco,Veracruz,2025,12,23.357941627715157,-102.49727960990752
Zapopan,Jalisco,2025,12,20.81948404603418,-103.61718730485319
Santa Catarina,Nuevo León,2025,12,25.909422200201213,-99.59662542672544
Torreón,Coahuila De Zaragoza,2025,11,23.655200811599464,-102.6161087786268
San Pedro Mixtepec -Dto. 22 -,Oaxaca,2025,9,23.629650578356006,-102.456447138886
